filename,true_label,pred_label,confidence,prob_anodr,prob_bmilddr,prob_cmoderatedr,prob_dseveredr,prob_eproliferativedr
20051020_43808_0100_PP_967.png,anodr,anodr,0.9979419112205505,0.9979419112205505,0.0014680236345157027,0.00046784256119281054,3.529133027768694e-05,8.680544851813465e-05
20051020_44261_0100_PP_1191.png,anodr,anodr,0.9958170056343079,0.9958170056343079,0.0033750904258340597,0.0006126165972091258,5.414296902017668e-05,0.000141094351420179
20051020_44284_0100_PP_502.png,anodr,anodr,0.9971855282783508,0.9971855282783508,0.0019915313459932804,0.0006125199724920094,7.390198152279481e-05,0.00013647429295815527
20051020_44338_0100_PP_547.png,anodr,anodr,0.9504294395446777,0.9504294395446777,0.03917882591485977,0.009278400801122189,0.0001892175932880491,0.0009242416126653552
20051020_44400_0100_PP_920.png,anodr,anodr,0.9913131594657898,0.9913131594657898,0.00656019477173686,0.0017825928516685963,6.713242328260094e-05,0.0002768971025943756
20051020_44431_0100_PP_514.png,anodr,anodr,0.9926247000694275,0.9926247000694275,0.005526596214622259,0.0015676115872338414,5.8671183069236577e-05,0.0002223518822574988
20051020_44692_0100_PP_419.png,anodr,anodr,0.9952329993247986,0.9952329993247986,0.003252598689869046,0.0012661778600886464,4.5137425331631675e-05,0.00020310205582063645
20051020_44714_0100_PP_1199.png,anodr,anodr,0.9976058006286621,0.9976058006286621,0.0018487434135749936,0.0004212436033412814,3.1407525966642424e-05,9.275352931581438e-05
20051020_44982_0100_PP_486.png,anodr,anodr,0.9825198650360107,0.9825198650360107,0.014047649689018726,0.0030801082029938698,9.045415936270729e-05,0.0002619053120724857
20051020_56791_0100_PP_1185.png,anodr,anodr,0.9970933198928833,0.9970933198928833,0.002300659427419305,0.0004649744660127908,3.3813306799856946e-05,0.00010723601008066908
20051020_57157_0100_PP_971.png,anodr,anodr,0.5846292972564697,0.5846292972564697,0.331045538187027,0.0817955955862999,0.0007490183343179524,0.001780495047569275
20051020_57967_0100_PP_829.png,anodr,anodr,0.9985464215278625,0.9985464215278625,0.0011574594536796212,0.00019744312157854438,2.514724292268511e-05,7.346987695200369e-05
20051020_58065_0100_PP_561.png,anodr,anodr,0.99811851978302,0.99811851978302,0.0014547216705977917,0.00026502227410674095,2.7433052309788764e-05,0.0001343626354355365
20051020_61757_0100_PP_484.png,anodr,anodr,0.9980483055114746,0.9980483055114746,0.0014526176964864135,0.00038183352444320917,4.2203711927868426e-05,7.505364919779822e-05
20051020_62461_0100_PP_76.png,anodr,anodr,0.9711394906044006,0.9711394906044006,0.019823944196105003,0.007643241435289383,0.0002310510171810165,0.0011622064048424363
20051020_62510_0100_PP_106.png,anodr,anodr,0.9345929026603699,0.9345929026603699,0.02286416105926037,0.02399660274386406,0.0019010200630873442,0.016645347699522972
20051020_62577_0100_PP_479.png,anodr,anodr,0.9959229230880737,0.9959229230880737,0.0032907919958233833,0.0006500834715552628,3.799367186729796e-05,9.81953417067416e-05
20051020_62615_0100_PP_294.png,anodr,anodr,0.9925305247306824,0.9925305247306824,0.006235665176063776,0.0010636189254000783,4.255605745129287e-05,0.0001277244882658124
20051020_63269_0100_PP_1183.png,anodr,anodr,0.9955462217330933,0.9955462217330933,0.0032867908012121916,0.000986206578090787,4.907790935249068e-05,0.00013177251094020903
